"z","shelter","eggs","with_eggs","ground","ceiling","heatmat","move","room","tank#","tank_size","temperature","researcher","time","start_time","x","y","Date","ID","SVL","Weight","Sex"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.45","BS","a","13:15","1","2","19/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","13:30","1","2","19/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","13:45","1","2","19/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","14:00","1","2","19/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","14:15","2","1","19/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0",NA,"R002","3","s","25.26","BS","m","08:00","2","2","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","25.24","BS","m","08:15","1","2","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","25.13","BS","m","08:30","2","2","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","25.09","BS","m","08:45","2","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","25","BS","m","09:00","2","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.92","BS","m","09:15","1","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.92","BS","m","09:30","1","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.83","BS","m","09:45","1","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.74","BS","m","10:00","1","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.74","BS","m","10:15","1","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.67","BS","m","10:30","1","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.58","BS","m","10:45","1","1","21/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0",NA,"R002","3","s","24.45","BS","a","11:30","1","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.4","BS","a","11:45","1","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","12:00","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","12:15","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","12:30","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","12:45","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","13:00","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","13:15","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","13:30","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.36","BS","a","13:45","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.31","BS","a","14:00","2","1","27/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.37","BS","a","14:15","2","1","27/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0",NA,"R002","3","s","25.07","BS","m","08:00","2","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.99","BS","m","08:15","1","2","29/10/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.85","BS","m","08:30","1","1","29/10/2021",1,13.309,139,"F"
